id,revenue
3001,3127404.269525992
3002,52666867.10360327
3003,1381024.9294944769
3004,25841373.796975628
3005,56690685.42972342
3006,1728605.7801357156
3007,1214743.2629847957
3008,44604320.48315438
3009,37059765.33408661
3010,37168182.65845558
3011,50843775.70450278
3012,682559.1384660718
3013,79741887.7906299
3014,67262763.85281958
3015,25085821.71458619
3016,1606944.987442241
3017,62644356.8886655
3018,18286401.713144742
3019,1135328.7238105715
3020,24640663.934542052
3021,22318821.07568825
3022,19534188.837513395
3023,525321.8328808893
3024,22827761.77975211
3025,1050983.9449883278
3026,17137310.43921102
3027,44326605.83820689
3028,19650249.19137933
3029,106067401.05710785
3030,52232272.059137285
3031,40093405.46995159
3032,57150557.99997104
3033,61072549.195547834
3034,36242326.24939209
3035,492628.20376578905
3036,28398074.73157168
3037,61524977.48249857
3038,21962887.67139155
3039,20159767.61252053
3040,1158164.6702035205
3041,25462967.22292957
3042,1131592.1607072921
3043,56379094.73696159
3044,39876764.27974992
3045,52562592.0151535
3046,1364459.4544180243
3047,1073925.3845440825
3048,34922754.04684864
3049,2416728.912307177
3050,89578427.55577551
3051,41216560.534707576
3052,43426246.36710825
3053,1376825.0316963743
3054,1668431.445689985
3055,41812260.63951929
3056,1734315.3161759481
3057,61351064.94974103
3058,30790519.094367165
3059,1520910.1429861083
3060,37207069.62472635
3061,55682084.342016265
3062,461523.02604369103
3063,37950811.95620338
3064,21543685.332486235
3065,56294850.104281485
3066,25295629.078728087
3067,611281.8990354567
3068,90129046.0253531
3069,27472880.592323147
3070,2343965.2183041647
3071,28251308.438369174
3072,39591790.134311736
3073,426264.2602717507
3074,1620353.4271515976
3075,38806284.649689876
3076,36650652.855097055
3077,11632413.583165009
3078,47547033.853102796
3079,47183544.650922194
3080,74378104.5972399
3081,43085530.21413047
3082,1400571.9812616548
3083,48138227.37505384
3084,57358547.80572463
3085,108732556.76563059
3086,59979790.39202545
3087,1126388.217890475
3088,1902418.7928134203
3089,56608010.41518263
3090,48567378.63767987
3091,48563733.637737975
3092,1663716.7330351886
3093,53810227.12333326
3094,27581537.330838956
3095,35185856.417669974
3096,42824978.774842784
3097,39480200.16108688
3098,71277369.77349369
3099,29213549.741714876
3100,1365705.1572443733
3101,1042092.2981409613
3102,45516247.10467484
3103,1655156.3637768643
3104,1219751.1902273402
3105,40139164.93303807
3106,60650834.952309266
3107,21870669.85306863
3108,47480443.08576484
3109,1795689.3037361202
3110,30251926.712927513
3111,46494981.13613834
3112,986770.9878538173
3113,36991049.55907936
3114,40822476.81144995
3115,49703209.127023414
3116,36143093.060747325
3117,1554888.35329633
3118,1095931.6368821454
3119,11605563.518739978
3120,41657415.50566527
3121,2929775.0412781723
3122,48167873.94311109
3123,42248760.68943583
3124,678297.4154874848
3125,51060364.88344799
3126,45405781.46666442
3127,1209652.3802128304
3128,57930729.066279344
3129,58017422.13908068
3130,39369055.90832536
3131,896669.1404230745
3132,60591940.97460467
3133,1323209.7087046213
3134,1319502.9639435385
3135,3194054.9657203406
3136,35712521.975997984
3137,21783898.077814754
3138,61941109.56164802
3139,32647183.965038538
3140,31541899.924928244
3141,36286549.322803736
3142,21146152.274133522
3143,44642474.95486167
3144,52289770.50974686
3145,949658.2940319602
3146,68734935.19772062
3147,28323309.682314776
3148,1014317.0575891226
3149,105780491.45356119
3150,42466221.13406215
3151,52100955.35938765
3152,15538101.233700553
3153,1517088.842364855
3154,23795582.730082944
3155,15981680.869420728
3156,91335544.59920086
3157,14364565.034486739
3158,84091170.77387829
3159,1162227.5794774469
3160,45572861.09761294
3161,973301.8459594316
3162,872021.8008875994
3163,36081272.985021226
3164,63927543.69154368
3165,1630168.658831924
3166,1709727.252342319
3167,50120821.94282468
3168,1728692.3474685461
3169,953292.4218289133
3170,14897471.645944303
3171,571494.8074794146
3172,36875750.77167957
3173,56832666.69492708
3174,1551052.3160649675
3175,3267183.5474993256
3176,25867026.66510819
3177,82502201.21423975
3178,37277498.5991983
3179,28306679.4687279
3180,1441411.1517729878
3181,18213007.774984486
3182,27862769.575917546
3183,87206324.22029184
3184,127405018.09146369
3185,37192338.940990716
3186,80660554.0311583
3187,1409752.7798706694
3188,51217782.063892625
3189,45709528.888537504
3190,85480893.80235319
3191,25227512.55323661
3192,1202302.0299485412
3193,35040340.7362002
3194,42216215.51322198
3195,1588530.8940098493
3196,335537.66404304357
3197,659812.6749520332
3198,28420743.48782529
3199,66566541.00876887
3200,62595074.82750809
3201,55808394.84481079
3202,57011225.312401816
3203,1719830.5298296118
3204,571215.2673329538
3205,1041853.5474512725
3206,35917367.487429045
3207,40574986.15005365
3208,25428739.74235851
3209,54635501.879627824
3210,53932875.17716365
3211,903307.3298477685
3212,47879828.60169748
3213,29540525.894264527
3214,63128406.07358302
3215,16337117.013367033
3216,41297500.245033704
3217,40563140.96110372
3218,2611035.539546504
3219,42800516.03284616
3220,14063584.746291183
3221,42847514.62047404
3222,58084139.13169917
3223,1242817.9398980862
3224,67608647.13671908
3225,43245050.201942
3226,23627066.02693122
3227,45471575.29399578
3228,89085840.90106972
3229,35480123.892094545
