id,revenue
3001,1411082.9922108701
3002,400142.576708126
3003,1327903.5254666468
3004,11606713.909903709
3005,922407.9333955027
3006,1451035.589349282
3007,730069.3419756464
3008,29575791.99188427
3009,23728721.771159906
3010,260559507.8645658
3011,288502.5072677433
3012,432814.94192360906
3013,25542761.124118887
3014,387787.6125427966
3015,19777060.332968246
3016,209315.20281308
3017,122016054.6996132
3018,121153356.05372189
3019,5079558.138139994
3020,281230287.7004056
3021,45932992.50810988
3022,37091616.07643123
3023,450380.2025777884
3024,20149276.608764276
3025,613714.6830085905
3026,77178336.11874434
3027,7103205.494006194
3028,71273723.82927503
3029,605399.612260334
3030,23034214.27499533
3031,4209069.806074992
3032,1719385.2141399032
3033,96312.419488738
3034,89036.27709004289
3035,684266.5305862628
3036,9604444.054195138
3037,52143421.1867254
3038,12073015.496786758
3039,9268421.836388009
3040,1291081.7742752105
3041,11632920.908995803
3042,1929815.7385648785
3043,9564202.537290903
3044,2248789.9415148273
3045,618410460.350279
3046,823660.5305153627
3047,2497451.0526136924
3048,21438814.604793124
3049,9870486.379931733
3050,29937863.71435466
3051,155104.69239967724
3052,20715111.97430547
3053,186096.99637247878
3054,261601.63939485425
3055,47462586.18052891
3056,229687.78512605143
3057,37258419.57763118
3058,187460327.3947862
3059,1047445.6459097356
3060,102895378.64578836
3061,66864832.74912702
3062,3831792.6907305554
3063,40013338.07453172
3064,35670916.845725805
3065,12218567.88042594
3066,78566206.94427982
3067,1358108.1280185492
3068,54032544.302001275
3069,100895400.94449344
3070,332829.7384998718
3071,3336531.4586122893
3072,139422187.33059976
3073,727484.4438963985
3074,231084.79396385283
3075,21090754.069601353
3076,300213371.4104572
3077,18728707.254473664
3078,168896383.5021538
3079,20624480.858911414
3080,125227324.69405365
3081,10256291.789400546
3082,3113255.4798942893
3083,6986578.124678894
3084,135438.17301699708
3085,12753125.498621173
3086,34944786.75556421
3087,375792.6888306888
3088,222258.016022127
3089,207429.34473070237
3090,21279775.649718314
3091,29419369.007531945
3092,984537.1126536522
3093,112085120.32433404
3094,119683941.46131496
3095,49892721.80793287
3096,1201228.781312484
3097,601389524.1450863
3098,21352880.678680986
3099,61575813.20236651
3100,1251125.7829535275
3101,4954107.431344342
3102,926921.3510828383
3103,1161145.366937293
3104,231635.185749877
3105,79634025.68384926
3106,43411844.031318046
3107,34148300.231442444
3108,6631874.676743861
3109,2126090.3094962523
3110,250750170.39619455
3111,3229498.942912792
3112,387762.6451239652
3113,6375633.855394137
3114,11567755.722571472
3115,10414368.776063533
3116,6311413.399081374
3117,314927.1986451918
3118,1022347.9825525521
3119,184006430.38221058
3120,117997359.44006675
3121,897759.9851559275
3122,4330568.751176437
3123,2117144.0228897408
3124,741573.6618238067
3125,40029.997473219584
3126,35627369.315549836
3127,1112326.1667899003
3128,16393546.209602917
3129,160103452.30574605
